County,State,Popul,PopDen,PopChg%,Hispan%,Under5%,Age65-75%,Black%,Asian%,BirthRate,HSGrad,ColGrad,IncomeHH
Washington,UT,95590,37.2,5.8,5.2,9.1,9.1,0.2,0.4,20.5,84.5,17.7,34710
Wayne,UT,2554,1.0,1.8,2.0,8.8,7.5,0.2,0.1,16.7,82.0,20.0,28100
Weber,UT,199435,341.2,1.5,12.6,9.0,5.4,1.4,1.3,19.6,82.5,18.0,42764
Addison,VT,36263,46.7,0.8,1.1,5.7,6.0,0.5,0.7,10.6,82.0,25.1,37520
Bennington,VT,37148,54.7,0.4,0.9,5.2,8.8,0.4,0.6,10.1,77.8,23.5,35779
Caledonia,VT,29770,45.6,0.2,0.7,5.5,7.4,0.3,0.4,10.8,77.4,19.0,31581
Chittenden,VT,147591,271.9,0.7,1.1,5.8,5.0,0.9,2.0,12.3,86.7,34.0,46747
Essex,VT,6507,9.7,0.7,0.5,5.4,8.9,0.2,0.3,8.8,68.0,8.5,29014
Franklin,VT,46184,71.3,1.7,0.6,7.1,6.1,0.3,0.3,13.5,74.8,14.3,35720
Grand Isle,VT,7220,83.1,4.6,0.4,5.5,7.5,0.1,0.2,10.9,79.0,20.3,39362
Lamoille,VT,23602,50.4,1.6,0.8,5.5,6.0,0.3,0.4,13.2,80.2,23.9,33418
Orange,VT,28786,41.0,2.0,0.6,5.6,7.1,0.2,0.4,10.3,80.4,21.9,35844
Orleans,VT,26536,37.6,1.0,0.7,5.7,7.7,0.4,0.3,12.4,70.7,14.2,29184
Rutland,VT,63250,68.0,-0.2,0.7,5.2,7.6,0.3,0.4,10.3,79.4,20.6,34304
Washington,VT,58503,84.2,0.8,1.3,5.4,6.5,0.5,0.6,10.5,81.3,24.4,36926
Windham,VT,44055,56.0,-0.4,1.1,5.3,7.2,0.5,0.8,10.6,81.7,25.2,35590
Windsor,VT,57675,59.1,0.4,0.8,5.0,8.1,0.3,0.6,9.9,81.3,23.6,36407
Accomack,VA,38414,84.2,0.3,5.4,6.1,9.2,31.6,0.2,12.2,59.5,9.2,25309
Albemarle,VA,80413,109.6,1.5,2.6,6.3,6.7,9.7,2.9,11.8,81.5,39.4,46371
Alleghany,VA,12840,29.0,-0.7,0.4,5.6,8.5,2.5,0.2,13.0,67.4,9.3,36774
Amelia,VA,11652,31.9,2.2,0.8,6.3,7.2,28.1,0.2,11.6,56.3,7.2,33121
Amherst,VA,32139,67.1,0.8,1.0,5.7,7.9,19.8,0.4,11.6,58.9,10.7,34745
Appomattox,VA,13885,41.0,1.3,0.5,6.1,8.2,22.9,0.2,13.6,61.1,8.7,32582
Arlington,VA,187469,7287.0,-1.0,18.6,5.5,4.4,9.3,8.6,15.4,87.5,52.3,57244
Augusta,VA,66621,67.6,1.5,0.9,5.7,7.4,3.6,0.3,11.6,69.0,11.7,38934
Bath,VA,5073,9.5,0.5,0.4,4.4,10.0,6.3,0.4,9.0,67.3,12.8,32768
Bedford,VA,61194,80.0,1.4,0.7,5.8,7.8,6.2,0.4,11.3,68.8,15.6,42540
Bland,VA,6844,19.1,-0.4,0.5,4.5,8.2,4.2,0.1,9.1,62.6,4.6,32199
Botetourt,VA,30812,56.2,1.0,0.6,5.7,8.1,3.5,0.5,10.4,72.9,13.6,45370
Brunswick,VA,18292,32.5,-0.7,1.3,5.0,8.3,56.9,0.2,10.6,50.5,7.0,25652
Buchanan,VA,26331,53.5,-2.4,0.5,4.8,6.9,2.6,0.1,9.8,42.5,6.4,25812
Buckingham,VA,15786,26.9,1.0,0.8,5.0,7.4,39.1,0.2,9.3,53.6,7.9,27712
Campbell,VA,51295,101.3,0.4,0.8,5.8,7.9,14.7,0.6,12.2,66.1,12.9,34895
Caroline,VA,22463,41.5,1.5,1.3,6.2,7.1,34.4,0.4,13.7,58.8,8.3,34799
Carroll,VA,29381,61.4,0.5,1.6,5.6,9.5,0.4,0.1,11.1,49.7,6.5,28375
Charles City,VA,6969,37.8,0.6,0.6,5.6,8.0,54.9,0.1,12.4,56.4,8.4,37173
Charlotte,VA,12451,26.3,-0.2,1.7,5.5,9.3,32.9,0.2,11.2,52.1,6.5,26422
Chesterfield,VA,266549,610.1,2.6,2.9,6.7,4.8,17.8,2.4,12.6,84.2,29.2,55324
Clarke,VA,13111,71.5,3.6,1.5,5.2,8.1,6.7,0.5,7.6,75.0,18.6,43442
Craig,VA,5090,15.4,,0.3,5.7,7.7,0.2,0.2,8.8,68.4,7.7,34900
Culpeper,VA,35715,89.9,4.2,2.5,6.4,6.7,18.2,0.7,13.4,66.7,14.9,41324
Cumberland,VA,9017,30.3,0.0,1.7,6.3,8.6,37.4,0.4,14.5,57.6,11.2,28177
Dickenson,VA,16329,49.4,-0.4,0.4,5.3,8.2,0.4,0.1,10.1,47.1,6.0,22941
Dinwiddie,VA,24630,48.7,0.4,1.0,5.6,7.0,33.7,0.3,10.1,59.2,8.4,34830
Essex,VA,10020,38.7,0.3,0.7,5.2,9.0,39.0,0.8,11.5,64.7,16.4,31385
Fairfax,VA,985161,2455.0,1.6,11.0,7.0,4.6,8.6,13.0,14.0,91.4,49.0,71057
Fauquier,VA,57820,84.8,4.9,2.0,6.4,5.9,8.8,0.6,12.1,78.9,21.5,56691
Floyd,VA,14195,36.4,2.3,1.3,5.6,8.0,2.0,0.1,10.2,60.2,10.4,31297
Fluvanna,VA,21257,69.9,6.0,1.2,6.5,9.2,18.4,0.4,14.0,68.5,16.3,40134
Franklin,VA,47927,68.3,1.4,1.2,5.4,8.4,9.3,0.4,10.7,59.9,10.1,33693
Frederick,VA,61315,142.7,3.6,1.7,6.5,6.2,2.6,0.7,12.7,70.1,14.7,42545
Giles,VA,16816,46.7,1.0,0.6,5.7,8.7,1.6,0.2,11.3,64.5,8.9,32519
Gloucester,VA,35410,160.3,1.8,1.6,5.8,6.6,10.3,0.7,9.6,74.0,14.7,39889
Goochland,VA,17323,59.4,2.7,0.9,5.2,7.7,25.6,0.5,9.2,66.7,19.3,50104
Grayson,VA,17727,40.4,-1.1,1.5,4.8,9.5,6.8,0.1,9.5,51.1,4.2,26608
Greene,VA,15945,97.1,4.6,1.3,7.5,5.4,6.4,0.4,15.7,63.5,12.7,37714
Greensville,VA,11536,39.2,-0.2,0.9,3.8,6.7,59.7,0.4,10.2,50.0,5.3,27923
Halifax,VA,37074,45.6,-0.8,1.2,5.9,8.7,38.0,0.2,11.8,51.6,6.4,28485
Hanover,VA,89714,182.5,3.9,1.0,6.5,6.1,9.3,0.8,11.8,77.5,18.9,53618
Henrico,VA,264973,1102.0,1.0,2.3,6.8,6.2,24.7,3.6,13.4,81.3,28.0,44122
Henry,VA,57332,151.6,-1.0,3.5,5.5,8.7,22.7,0.4,11.6,53.9,6.7,30843
Highland,VA,2518,6.1,-0.7,0.5,3.7,10.0,0.1,0.1,7.9,61.8,13.0,28609
