Metropolitan Statistical Area,Murder,Rape,Robbery,Assault,Burglary,Larceny,Car Theft
"Sacramento—Arden-Arcade—Roseville, CA M.S.A.",4.2,26.1,160.4,287.5,769.3,1888.1,449.2
"Saginaw-Saginaw Township North, MI M.S.A.",3.5,76.0,129.2,661.9,1095.2,1604.1,128.2
"Salem, OR M.S.A.2",1.3,25.4,45.0,169.1,445.6,2113.0,190.2
"Salinas, CA M.S.A.",10.7,20.0,139.7,325.5,723.8,1473.8,335.5
"Salisbury, MD M.S.A.",9.0,28.7,163.9,468.1,1055.0,2451.8,129.5
"Salt Lake City, UT M.S.A.",2.9,46.2,85.9,220.5,752.1,3317.9,387.5
"San Angelo, TX M.S.A.",1.8,52.6,49.0,171.5,1020.8,2964.4,150.6
"San Antonio-New Braunfels, TX M.S.A.",4.7,32.6,127.2,319.5,1071.3,3846.2,315.6
"San Diego-Carlsbad-San Marcos, CA M.S.A.",2.2,22.0,108.9,245.4,457.6,1340.5,408.3
"Sandusky, OH M.S.A.",0.0,17.0,35.3,245.7,632.6,2146.0,13.1
"San Francisco-Oakland-Fremont, CA M.S.A.",6.2,23.7,240.1,259.0,655.6,1938.0,514.3
"Oakland-Fremont-Hayward, CA M.D.",7.7,28.0,253.0,292.8,766.2,1792.5,625.3
"San Francisco-San Mateo-Redwood City, CA M.D.",4.0,17.5,221.9,211.0,498.3,2144.8,356.4
"San Jose-Sunnyvale-Santa Clara, CA M.S.A.",1.4,21.7,80.1,161.3,420.9,1442.7,392.7
"San Luis Obispo-Paso Robles, CA M.S.A.",2.2,30.5,34.6,199.5,570.5,1610.9,118.3
"Santa Barbara-Santa Maria-Goleta, CA M.S.A.",2.7,32.2,76.8,340.2,484.7,1504.7,146.5
"Santa Cruz-Watsonville, CA M.S.A.",5.5,26.6,105.1,375.7,678.4,2294.1,256.2
"Santa Fe, NM M.S.A.",6.6,30.4,62.0,258.0,2179.0,1580.5,163.0
"Santa Rosa-Petaluma, CA M.S.A.",1.3,26.6,59.0,309.8,402.2,1326.5,138.1
"Savannah, GA M.S.A.",6.5,20.5,154.8,160.7,998.6,2456.3,245.2
"Scranton—Wilkes-Barre, PA M.S.A.",2.2,21.8,61.7,153.3,462.5,1675.7,100.1
"Seattle-Tacoma-Bellevue, WA M.S.A.",2.3,33.5,119.3,197.9,827.0,2610.5,468.2
"Seattle-Bellevue-Everett, WA M.D.",2.0,31.1,114.6,169.0,773.8,2655.3,452.6
"Tacoma, WA M.D.",3.4,41.4,134.8,292.6,1001.2,2464.1,519.3
"Sebastian-Vero Beach, FL M.S.A.",0.0,19.6,65.5,240.8,868.0,2108.5,114.2
"Sherman-Denison, TX M.S.A.",9.1,17.4,48.1,205.7,708.2,2161.1,116.1
"Shreveport-Bossier City, LA M.S.A.",8.4,43.1,113.5,462.4,950.8,2554.6,207.8
"Sioux City, IA-NE-SD M.S.A.",0.0,18.5,24.0,196.3,513.3,1985.4,127.6
"Sioux Falls, SD M.S.A.",1.2,43.3,23.9,163.3,533.5,1717.7,114.2
"South Bend-Mishawaka, IN-MI M.S.A.",2.5,34.0,134.2,177.9,1161.2,2544.1,187.0
"Spartanburg, SC M.S.A.",5.2,28.9,87.8,371.0,879.1,2386.3,250.9
"Spokane, WA M.S.A.",2.5,31.1,111.3,201.1,1063.3,3379.5,596.4
"Springfield, IL M.S.A.2",4.4,70.2,181.5,599.5,1343.7,3098.3,152.4
"Springfield, MA M.S.A.",3.7,43.0,126.6,405.5,885.7,1924.0,249.8
"Springfield, MO M.S.A.",3.0,34.0,81.0,331.0,837.9,3641.9,293.5
"Springfield, OH M.S.A.",2.9,28.8,158.5,170.0,1272.0,2594.4,219.0
"State College, PA M.S.A.",0.0,16.2,23.0,67.6,243.2,1383.6,31.8
"St. Cloud, MN M.S.A.3",1.6,,25.1,98.7,292.0,1842.5,73.1
"Steubenville-Weirton, OH-WV M.S.A.",5.0,14.1,43.1,100.3,439.3,1394.2,84.5
"St. George, UT M.S.A.",0.0,16.5,10.1,82.0,396.2,1399.4,95.6
"St. Joseph, MO-KS M.S.A.",5.5,22.2,59.4,210.8,900.3,2411.7,183.9
"St. Louis, MO-IL M.S.A.2",7.8,26.0,126.9,336.7,694.8,2172.5,292.2
"Stockton, CA M.S.A.",9.2,23.8,269.5,502.7,1117.4,2522.0,484.9
"Sumter, SC M.S.A.",5.7,32.5,169.3,501.1,1310.1,3146.2,282.1
"Syracuse, NY M.S.A.",3.4,22.7,79.9,186.7,632.5,1781.5,104.9
"Tallahassee, FL M.S.A.",5.2,50.3,162.4,557.0,1181.0,2291.2,152.2
"Tampa-St. Petersburg-Clearwater, FL M.S.A.",4.3,26.6,125.9,343.3,847.8,2337.1,202.3
"Texarkana, TX-Texarkana, AR M.S.A.",2.9,42.7,117.4,576.0,1157.8,2746.0,247.8
"Toledo, OH M.S.A.4",4.0,28.3,179.3,271.5,1347.0,,222.7
"Topeka, KS M.S.A.",6.0,28.3,99.5,257.9,939.2,3026.4,277.2
"Trenton-Ewing, NJ M.S.A.",5.4,6.5,184.8,250.5,505.6,1419.6,155.4
"Tucson, AZ M.S.A.4",8.0,23.4,134.6,259.6,787.6,,465.3
"Tulsa, OK M.S.A.",6.4,42.3,158.0,391.5,1054.3,2059.2,335.8
"Tuscaloosa, AL M.S.A.",5.1,30.3,124.4,272.1,1234.9,2589.5,192.9
"Tyler, TX M.S.A.",6.3,54.5,62.3,293.5,850.5,2659.6,194.0
"Utica-Rome, NY M.S.A.",2.4,20.7,63.2,174.2,512.1,1808.3,66.0
"Valdosta, GA M.S.A.",3.8,25.6,78.9,251.0,1107.2,2316.6,194.7
"Vallejo-Fairfield, CA M.S.A.2",8.1,35.1,197.6,232.1,952.1,1591.9,525.6
"Victoria, TX M.S.A.",6.9,54.6,74.5,430.6,960.0,2758.8,134.3
"Vineland-Millville-Bridgeton, NJ M.S.A.",6.3,9.4,175.1,303.9,894.1,2283.4,119.4
"Virginia Beach-Norfolk-Newport News, VA-NC M.S.A.",6.6,20.4,133.1,176.8,606.1,2679.1,197.4
"Visalia-Porterville, CA M.S.A.",8.0,22.9,101.8,343.2,902.4,2213.4,498.7
"Waco, TX M.S.A.",3.8,50.7,102.7,385.7,1079.5,2861.7,155.6
"Warner Robins, GA M.S.A.",6.0,22.4,88.9,236.7,862.5,2709.3,188.9
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.S.A.",5.3,17.8,179.6,177.3,394.0,1857.7,298.9
"Bethesda-Rockville-Frederick, MD M.D.",1.9,12.7,96.6,96.6,329.2,1541.9,141.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.D.",6.2,19.2,202.9,199.8,412.2,1946.2,343.1
"Waterloo-Cedar Falls, IA M.S.A.",2.4,37.2,44.4,293.5,662.0,1556.2,97.8
"Wausau, WI M.S.A.",0.0,20.4,15.1,93.8,382.6,1362.5,46.1
"Wenatchee-East Wenatchee, WA M.S.A.",0.9,43.4,22.6,100.3,469.7,2085.6,141.8
"Wichita, KS M.S.A.",2.9,53.0,82.2,443.4,867.0,2641.3,291.0
"Wichita Falls, TX M.S.A.",4.8,32.1,95.5,228.6,1085.7,2896.1,207.4
"Williamsport, PA M.S.A.",1.7,23.9,57.2,85.4,394.5,1533.6,60.6
"Wilmington, NC M.S.A.",3.0,28.0,103.1,229.7,1127.0,2392.7,224.0
"Winchester, VA-WV M.S.A.",1.6,45.7,34.6,84.2,492.0,1712.1,105.5
"Winston-Salem, NC M.S.A.",3.5,30.5,103.1,320.0,1330.3,2661.1,195.2
"Worcester, MA M.S.A.",1.7,24.5,73.1,371.5,594.3,1411.4,145.8
"Yakima, WA M.S.A.",10.0,43.8,97.1,193.3,1398.8,2734.6,507.9
"York-Hanover, PA M.S.A.",2.5,22.9,89.0,94.0,326.8,1664.4,101.6
"Youngstown-Warren-Boardman, OH-PA M.S.A.",5.9,24.5,99.3,172.4,1124.1,2011.0,207.6
"Yuba City, CA M.S.A.",4.2,32.1,64.2,261.5,675.1,1511.3,294.2
"Yuma, AZ M.S.A.",4.7,19.4,40.9,307.0,758.6,1698.4,177.6
